Species	xvar	yvar	experiment
Oryctolagus_cuniculus	0.954242509439325	2.620016186	Maximum_longevity.Alpha
Ovis_aries	1.35793484700045	3.425547178	Maximum_longevity.Alpha
Pongo_abelii	1.77085201164214	3.368587866	Maximum_longevity.Alpha
Rattus_norvegicus	0.57978359661681	2.535387586	Maximum_longevity.Alpha
Saimiri_boliviensis	1.48144262850231	2.470228829	Maximum_longevity.Alpha
Sus_scrofa	1.43136376415899	1.87809756	Maximum_longevity.Alpha
Bos_taurus	2.44247976906445	2.973367307	Gestation_d.Alpha
Callithrix_jacchus	2.15836249209525	2.300218497	Gestation_d.Alpha
Canis_lupus_familiaris	1.79239168949825	1.339210792	Gestation_d.Alpha
Ceratotherium_simum_cottoni	2.71180722904119	3.07205928	Gestation_d.Alpha
Daubentonia_madagascariensis	2.21748394421391	2.954661506	Gestation_d.Alpha
Dicerorhinus_sumatrensis	2.37291200297011	2.404204696	Gestation_d.Alpha
Equus_caballus	2.52762990087134	4.106223373	Gestation_d.Alpha
Felis_catus	1.81291335664286	0.9766717203	Gestation_d.Alpha
Homo_sapiens	2.44715803134222	3.867057387	Gestation_d.Alpha
Macaca_mulatta	2.21748394421391	2.595815891	Gestation_d.Alpha
Microcebus_murinus	1.78532983501077	2.890600042	Gestation_d.Alpha
Mus_musculus	1.27875360095283	2.821501142	Gestation_d.Alpha
Mus_pahari	1.32221929473392	2.660088058	Gestation_d.Alpha
Oryctolagus_cuniculus	1.47712125471966	2.620016186	Gestation_d.Alpha
Ovis_aries	2.16435285578444	3.425547178	Gestation_d.Alpha
Pongo_abelii	2.39619934709574	3.368587866	Gestation_d.Alpha
Rattus_norvegicus	1.32221929473392	2.535387586	Gestation_d.Alpha
Saimiri_boliviensis	2.19865708695442	2.470228829	Gestation_d.Alpha
Sus_scrofa	2.06069784035361	1.87809756	Gestation_d.Alpha
Bos_taurus	5.8750612633917	2.973367307	Adult_weight_g.Alpha
Callithrix_jacchus	2.40688067004913	2.300218497	Adult_weight_g.Alpha
Canis_lupus_familiaris	4.42528961644679	1.339210792	Adult_weight_g.Alpha
Ceratotherium_simum_cottoni	6.33745926129066	3.07205928	Adult_weight_g.Alpha
Daubentonia_madagascariensis	3.35745838564504	2.954661506	Adult_weight_g.Alpha
Dicerorhinus_sumatrensis	6.10037054511756	2.404204696	Adult_weight_g.Alpha
Equus_caballus	5.47712125471966	4.106223373	Adult_weight_g.Alpha
Felis_catus	3.5910646070265	0.9766717203	Adult_weight_g.Alpha
Homo_sapiens	4.79263678656392	3.867057387	Adult_weight_g.Alpha
Macaca_mulatta	3.91566360350577	2.595815891	Adult_weight_g.Alpha
Microcebus_murinus	1.81157500587059	2.890600042	Adult_weight_g.Alpha
Mus_musculus	1.31175386105575	2.821501142	Adult_weight_g.Alpha
Mus_pahari	1.04921802267018	2.660088058	Adult_weight_g.Alpha
Nomascus_leucogenys	3.77815125038364	3.937802443	Adult_weight_g.Alpha
Oryctolagus_cuniculus	3.25527250510331	2.620016186	Adult_weight_g.Alpha
Ovis_aries	4.90308998699194	3.425547178	Adult_weight_g.Alpha
Pongo_abelii	4.80939135080998	3.368587866	Adult_weight_g.Alpha
Rattus_norvegicus	2.47712125471966	2.535387586	Adult_weight_g.Alpha
Saimiri_boliviensis	2.78887511577542	2.470228829	Adult_weight_g.Alpha
Sus_scrofa	5.11394335230684	1.87809756	Adult_weight_g.Alpha
Callithrix_jacchus	1.42324587393681	2.300218497	Birth_weight_g.Alpha
Canis_lupus_familiaris	2.65321251377534	1.339210792	Birth_weight_g.Alpha
Ceratotherium_simum_cottoni	4.72015930340596	3.07205928	Birth_weight_g.Alpha
Daubentonia_madagascariensis	2.03742649794062	2.954661506	Birth_weight_g.Alpha
Dicerorhinus_sumatrensis	4.36172783601759	2.404204696	Birth_weight_g.Alpha
Equus_caballus	4.57978359661681	4.106223373	Birth_weight_g.Alpha
Felis_catus	1.98900461569854	0.9766717203	Birth_weight_g.Alpha
Homo_sapiens	3.52015588694486	3.867057387	Birth_weight_g.Alpha
Macaca_mulatta	2.66651798055488	2.595815891	Birth_weight_g.Alpha
Microcebus_murinus	0.778151250383644	2.890600042	Birth_weight_g.Alpha
Mus_musculus	0.0969100130080564	2.821501142	Birth_weight_g.Alpha
Mus_pahari	0.0791812460476248	2.660088058	Birth_weight_g.Alpha
Nomascus_leucogenys	2.69635638873333	3.937802443	Birth_weight_g.Alpha
Oryctolagus_cuniculus	1.65321251377534	2.620016186	Birth_weight_g.Alpha
Ovis_aries	3.3747483460101	3.425547178	Birth_weight_g.Alpha
Pongo_abelii	3.23967478764678	3.368587866	Birth_weight_g.Alpha
Rattus_norvegicus	0.764176132390331	2.535387586	Birth_weight_g.Alpha
Sus_scrofa	2.98227123303957	1.87809756	Birth_weight_g.Alpha
Bos_taurus	1	2.973367307	AssemblyStatus.Alpha
Callithrix_jacchus	2	2.300218497	AssemblyStatus.Alpha
Canis_lupus_familiaris	1	1.339210792	AssemblyStatus.Alpha
Ceratotherium_simum_cottoni	2	3.07205928	AssemblyStatus.Alpha
Daubentonia_madagascariensis	2	2.954661506	AssemblyStatus.Alpha
Dicerorhinus_sumatrensis	2	2.404204696	AssemblyStatus.Alpha
Equus_caballus	1	4.106223373	AssemblyStatus.Alpha
Felis_catus	1	0.9766717203	AssemblyStatus.Alpha
Homo_sapiens	1	3.867057387	AssemblyStatus.Alpha
Macaca_mulatta	1	2.595815891	AssemblyStatus.Alpha
Microcebus_murinus	1	2.890600042	AssemblyStatus.Alpha
Mus_musculus	1	2.821501142	AssemblyStatus.Alpha
Mus_pahari	1	2.660088058	AssemblyStatus.Alpha
Nomascus_leucogenys	1	3.937802443	AssemblyStatus.Alpha
Oryctolagus_cuniculus	1	2.620016186	AssemblyStatus.Alpha
Ovis_aries	1	3.425547178	AssemblyStatus.Alpha
Pongo_abelii	1	3.368587866	AssemblyStatus.Alpha
Rattus_norvegicus	1	2.535387586	AssemblyStatus.Alpha
