Species	Common_names
Piliocolobus_tephrosceles	Ugandan red colobus
Pongo_abelii	Sumatran orangutan
Propithecus_coquereli	Coquerel's sifaka
Psammomys_obesus	Fat sand rat
Pteronotus_parnellii	Parnell's mustached bat
Pteropus_alecto	Black flying fox
Pteropus_vampyrus	Large flying fox
Puma_concolor	Puma
Rattus_norvegicus	Norway rat
Rhinolophus_sinicus	Chinese rufous horseshoe bat
Rhinopithecus_bieti	Black snub-nosed monkey
Rhinopithecus_roxellana	Golden snub-nosed monkey
Saimiri_boliviensis	Bolivian squirrel monkey
Sorex_araneus	European shrew
Spermophilus_dauricus	Daurian ground squirrel
Sus_scrofa	Pig
Trichechus_manatus	Florida manatee
Tupaia_chinensis	Northern tree shrew
Tursiops_truncatus	Bottlenose dolphin
Ursus_maritimus	Polar bear
Vicugna_pacos	Alpaca
Antrozous_pallidus	Pallid bat
Bradypus_variegatus	Brown-throated sloth
Macrotus_californicus	California leaf-nosed bat
Nycticeius_humeralis	Egyptian slit-faced bat
Pedetes_capensis	South Africanspringhare
Pontoporia_blainvillei	La Plata dolphin
Rhinolophus_ferrumequinum	Greater horseshoe bat
Rhizomys_pruinosus	Hoary bamboo rat
Apaloderma_vittatum	Bar-tailed trogon
Buceros_rhinoceros	Rhinoceros hornbill
Colius_striatus	Speckled Mousebird
Leptosomus_discolor	Cuckoo-roller
Cariama_cristata	Red-legged seriema
Falco_peregrinus	Peregrine falcon
Haliaeetus_leucocephalus	Bald eagle
Taeniopygia_guttata	Zebra finch
Aptenodytes_forsteri	Emperor penguin
Chlamydotis_macqueenii	MacQueen's bustard
Fulmarus_glacialis	Northern fulmar
Pelecanus_crispus	Dalmatian pelican
Phalacrocorax_carbo	Great cormorant
Antrostomus_carolinensis	Chuck-will's-widow
Columba_livia	Domestic pigeon
Phoenicopterus_ruber	American flamingo
Pterocles_gutturalis	Yellow-throated sandgrouse
Cairina_moschata	Muscovy duck
Gallus_gallus	Chicken
Meleagris_gallopavo	Wild turkey
Ficedula_albicollis	Collared flycatcher
Naja_naja	Indian cobra
Thamnophis_elegans	Western garter snake
Crotalus_viridis	Prairie rattlesnake
Lacerta_viridis	European green lizard
Lacerta_bilineata	Western green lizard
Lacerta_agilis	Sand lizard
Podarcis_muralis	Common wall lizard 
Vipera_berus	European adder
Anseranas_semipalmata	Magpie goose
Bucorvus_abyssinicus	Northern ground hornbill
Calidris_pugnax	Ruff
Chionis_minor	Black-faced sheathbill
Cuculus_canorus	Common cuckoo
Egretta_garzetta	Little egret
Falco_cherrug	Saker falcon
Nipponia_nippon	Crested Ibis
Halcyon_senegalensis	Woodland kingfisher
Ibidorhyncha_struthersii	Ibisbill
Lophotis_ruficrista	Red-crested bustard
Numida_meleagris	Helmeted guineafowl
Nycticryphes_semicollaris	Painted-snipe
Parus_major	Great tit
Penelope_pileata	White-crested guan
Psophia_crepitans	Grey-winged trumpeter
Pterocles_burchelli	Burchell's sandgrouse
Trogon_melanurus	Black-tailed trogon
Laticauda_laticaudata	Blue-lipped sea krait
Pseudonaja_textilis	Eastern brown snake
Notechis_scutatus	Tiger snake
Pantherophis_obsoletus	Western rat snake
Pantherophis_guttatus	Corn snake
