Species	Group	beta0	beta0_95%_CI	beta1	beta1_95%_CI	beta2	beta2_95%_CI	beta3	beta3_95%_CI
Lophotis_ruficrista	Birds	1.595	(-0.119,3.414)	0.116	(0.087,0.149)	-29.346	(-38.584,-20.753)	34.121	(23.509,45.796)
Cuculus_canorus	Birds	3.61	(1.567,5.623)	0.125	(0.089,0.158)	-37.116	(-47.575,-26.469)	44.116	(30.312,57.893)
Egretta_garzetta	Birds	1.281	(-0.977,3.672)	0.118	(0.084,0.157)	-29.037	(-41.104,-17.887)	34.247	(20.525,49.504)
Bucorvus_abyssinicus	Birds	2.436	(1.001,4.036)	0.099	(0.065,0.13)	-33.506	(-41.572,-26.381)	40.809	(32.111,50.904)
Halcyon_senegalensis	Birds	2.566	(0.871,4.364)	0.121	(0.081,0.164)	-33.384	(-42.612,-24.616)	40.068	(28.823,52.124)
Trogon_melanurus	Birds	2.271	(0.343,4.149)	0.135	(0.098,0.172)	-30.783	(-40.232,-21.185)	35.543	(23.621,47.348)
Ficedula_albicollis	Birds	5.94	(4.363,7.435)	0.141	(0.101,0.183)	-47.979	(-55.573,-40.069)	58.608	(48.715,68.098)
Falco_cherrug	Birds	1.599	(-0.49,4.165)	0.14	(0.097,0.181)	-28.327	(-41.22,-17.982)	32.394	(19.292,48.412)
Haliaeetus_leucocephalus	Birds	-6.671	(-9.401,-4.402)	0.153	(0.111,0.197)	9.832	(-1.52,23.575)	-13.968	(-31.365,0.458)
Psophia_crepitans	Birds	-3.646	(-5.581,-1.749)	0.153	(0.115,0.183)	-2.855	(-12.119,6.808)	1.353	(-10.512,12.718)
Anseranas_semipalmata	Birds	-3.742	(-5.511,-2.326)	0.118	(0.075,0.163)	-5.147	(-12.332,3.768)	3.984	(-6.941,13.027)
Cairina_moschata	Birds	2.192	(1.067,3.307)	0.093	(0.059,0.128)	-31.103	(-36.745,-25.485)	36.092	(29.254,43.237)
Penelope_pileata	Birds	2.413	(1.389,3.624)	0.14	(0.101,0.181)	-32.728	(-38.721,-27.656)	38.057	(31.698,45.412)
Thamnophis_elegans	Snakes	-2.693	(-3.322,-1.697)	0.028	(0.011,0.046)	-12.398	(-17.626,-9.501)	17.938	(14.638,24.494)
Pantherophis_guttatus	Snakes	-0.271	(-1.144,1.078)	0.06	(0.043,0.076)	-25.142	(-32.005,-20.925)	31.972	(26.905,40.763)
Naja_naja	Snakes	0.364	(-0.264,1.498)	0.114	(0.1,0.128)	-26.27	(-32.157,-23.307)	32.907	(29.364,40.417)
Vipera_berus	Snakes	-1.65	(-2.552,0.267)	0.061	(0.043,0.079)	-19.688	(-29.339,-15.348)	26.49	(21.126,38.615)
Crotalus_viridis	Snakes	-0.8	(-1.72,1.044)	0.078	(0.059,0.095)	-24.876	(-34.501,-20.401)	32.845	(27.288,45.233)
